iters,reward
201,0.0
152,2.45
201,0.37
201,0.0
201,0.25
201,0.0
201,0.0
201,-0.37
201,0.5
201,0.0
201,0.25
201,0.0
201,-0.43
201,0.0
201,0.0
201,0.0
201,0.0
201,1.45
7,0.47
201,-1.13
201,1.0
201,0.98
201,0.0
148,-0.98
201,0.0
201,0.0
103,-1.45
201,0.2
70,-1.23
201,-1.1
77,1.15
115,-1.23
87,0.25
58,-1.23
201,0.5
201,0.0
201,0.0
103,-1.03
133,-1.23
201,0.0
109,-1.29
201,-1.06
201,0.0
201,0.0
16,-1.43
20,-1.23
201,0.25
19,-1.23
201,0.92
201,0.0
58,-1.23
194,-0.55
201,0.0
201,0.0
201,0.0
201,0.0
201,0.0
201,0.0
201,0.0
201,0.25
201,0.0
201,0.0
201,0.88
201,0.0
201,0.6
10,2.23
201,0.0
153,-1.35
95,2.4
18,-1.23
121,-0.85
201,0.0
201,0.0
10,2.23
201,0.25
201,0.0
94,-1.4
201,-0.55
201,0.5
201,0.68
201,0.0
201,0.0
201,0.0
201,0.0
201,0.0
201,0.25
40,0.43
70,-1.23
201,0.5
201,0.0
201,0.0
201,0.0
201,0.0
201,0.5
201,0.0
201,0.25
201,0.0
141,-1.45
201,0.0
201,0.5
201,0.75
33,2.03
86,1.83
201,0.0
201,0.25
201,0.25
16,2.15
181,-0.77
91,-1.43
201,0.0
201,0.5
201,0.25
201,0.27
201,-0.43
201,0.25
201,0.25
201,0.02
50,1.88
201,0.0
201,1.4
201,-0.17
201,0.37
201,0.0
201,1.35
13,-1.45
201,0.0
201,0.0
201,0.0
135,-0.3
201,0.0
201,0.0
201,0.5
201,0.0
201,0.25
201,0.0
201,0.43
26,-0.55
201,0.25
201,0.92
20,2.15
201,0.0
16,2.15
47,-0.3
29,2.05
20,-1.23
201,0.0
201,-0.43
16,2.15
16,2.15
16,2.15
201,0.9
84,0.87
197,-1.45
16,2.15
14,2.17
201,-0.73
17,2.2
201,0.57
29,1.5
22,2.1
201,0.68
201,0.0
201,0.25
17,2.15
57,2.12
15,2.23
32,2.18
201,1.02
47,-1.05
41,2.05
16,2.15
201,-0.05
201,0.25
190,-1.15
201,-0.55
16,2.15
201,0.5
201,0.0
201,0.0
59,-0.3
201,0.0
106,-1.18
201,0.25
201,0.0
201,0.0
79,0.43
201,0.5
201,0.75
201,0.0
89,2.45
201,0.75
114,-1.45
201,0.0
201,0.0
201,0.0
201,0.0
16,2.15
22,2.13
201,0.25
201,0.0
