iters,reward
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
18,-1.68
14,-1.7
14,-1.7
48,-1.43
14,-1.7
14,-1.7
132,-1.48
58,-2.08
14,-1.7
14,-1.7
18,-1.68
14,-1.7
14,-1.7
14,-1.7
201,-0.6
14,-1.7
111,-1.33
14,-1.7
12,-1.73
14,-1.7
14,-1.7
12,-1.73
45,-1.45
14,-1.7
70,-1.23
14,-1.7
48,-1.43
201,-0.9
14,-1.7
14,-1.7
48,-1.43
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
21,-1.65
14,-1.7
14,-1.7
14,-1.7
12,-1.73
12,-1.73
14,-1.7
14,-1.7
12,-1.73
14,-1.7
14,-1.7
28,-1.63
18,-1.68
201,-0.6
14,-1.7
54,-2.13
12,-1.73
64,-1.2
14,-1.7
12,-1.73
14,-1.7
14,-1.7
162,0.62
54,-1.65
90,-0.24
30,2.08
54,-1.38
64,-2.15
75,-1.35
48,-2.18
51,-1.93
201,0.8
42,-2.2
60,-2.12
127,-2.4
57,-2.1
201,0.0
44,-2.18
139,-1.2
88,-1.85
170,-1.01
48,-1.43
66,-2.05
76,-1.9
60,-1.8
51,2.0
104,-1.2
79,-2.05
65,-2.05
70,-2.08
133,-0.63
43,-1.53
48,-1.43
57,-1.38
101,-2.14
93,-1.65
31,-1.03
108,-2.18
143,-0.15
103,-0.9
78,-1.93
201,-0.37
112,-1.75
169,-0.85
64,-1.53
49,-1.73
74,-1.73
53,-1.48
153,-1.5
37,-2.34
98,-2.1
51,0.37
109,-1.08
52,-2.18
70,0.97
67,-2.03
39,-2.18
156,-0.53
73,-2.13
96,-1.0
63,-2.18
96,-1.95
78,-2.13
53,-1.6
45,-2.45
88,-1.95
201,0.0
17,-1.23
45,-1.53
16,-1.23
77,-0.82
83,-1.05
123,-2.12
48,-1.23
103,-1.85
172,-1.03
33,-2.15
33,0.72
102,-0.83
69,-1.48
111,-2.23
94,-1.78
88,-1.55
154,-0.12
77,-0.77
31,-2.12
95,-1.7
159,-2.18
