iters,reward
31,-2.15
25,-2.1
81,1.05
25,-2.1
34,-1.05
150,0.82
65,0.22
25,-2.1
36,2.45
103,-1.43
25,-2.1
201,-0.93
201,0.3
25,1.93
25,-2.1
25,-2.1
24,1.2
25,-2.1
60,-1.87
25,-2.1
25,-2.1
25,-2.1
72,1.2
25,-2.1
132,2.38
25,-1.43
25,-2.1
25,-2.1
83,-1.33
25,-2.1
125,0.88
73,-1.3
109,0.65
72,-1.3
61,-1.53
158,-1.25
201,-0.98
96,-2.08
61,-1.9
89,0.13
96,-2.48
110,-1.83
82,-2.18
66,-2.25
45,-0.93
127,0.1
115,-2.0
42,-2.23
78,-0.7
101,-1.18
104,-2.43
66,-1.28
41,-2.23
50,-1.4
93,0.18
22,-1.7
24,-2.12
201,0.0
42,-2.15
201,0.32
111,-1.35
67,-2.23
37,-1.85
37,-2.23
57,-1.35
54,-1.88
89,-1.93
76,-0.5
55,-1.63
66,-1.33
100,-0.82
201,-1.28
78,-1.98
78,-1.98
19,0.29
85,-2.08
62,0.58
85,-2.14
66,1.12
36,-1.53
31,-1.23
54,-0.8
24,-1.23
151,-2.0
50,-1.4
170,-0.93
120,-1.95
30,-2.12
55,-1.5
116,-2.03
68,-1.28
79,-1.25
73,-1.65
41,-1.48
47,-2.18
155,-1.65
47,-1.43
68,-1.88
76,-1.43
94,-1.63
69,-2.2
19,-1.65
38,-1.53
36,-2.2
58,-1.38
27,-1.23
113,-1.08
55,-2.1
49,-2.15
40,-1.48
105,-2.38
70,-1.93
57,-0.38
103,-1.22
61,-2.13
52,-0.97
33,-2.12
51,-1.58
35,-2.08
36,-1.05
20,-0.58
40,-2.23
85,-1.1
76,-1.85
97,0.47
54,-2.25
51,-2.15
95,-0.85
76,-1.1
65,-2.28
13,-1.7
85,-1.25
116,-1.93
17,1.98
66,-2.2
40,-2.12
122,-1.8
121,-2.35
48,-1.23
66,-2.25
106,1.67
52,-0.07
24,-2.12
32,-2.18
28,-2.1
55,-2.18
58,-2.1
62,-0.22
35,-1.8
90,-1.5
