iters,reward
142,-1.53
22,-1.4
22,-1.4
135,-2.2
41,-1.35
22,-1.4
27,2.18
22,-1.4
33,-1.55
26,2.2
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
25,2.18
22,-1.4
22,-0.9
22,-1.4
22,-1.4
16,-1.88
22,-1.4
201,-1.03
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
24,-2.12
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
22,-1.4
117,-1.33
22,-1.4
33,-1.55
22,-1.4
22,-1.4
68,-0.95
25,2.18
22,-1.4
22,-0.78
22,-1.4
22,-1.4
190,-1.8
22,-1.4
22,-1.4
22,-1.4
40,-1.48
46,-1.88
49,-1.4
47,-2.22
69,-1.3
91,-1.28
88,-0.37
19,-1.88
42,-0.13
63,-2.18
111,-1.85
22,-1.85
165,-1.03
134,-2.2
90,-1.17
64,0.75
57,0.05
25,2.18
50,-2.45
102,-2.45
36,-1.05
23,-1.45
94,-1.85
157,-1.33
54,-1.4
56,-1.4
49,-1.45
97,-2.08
32,-0.15
84,-1.55
17,-1.23
125,-2.03
60,-0.82
34,0.43
50,-0.2
42,-1.58
76,-1.68
56,-1.18
36,-2.18
113,-1.63
128,0.05
42,-1.77
93,-1.78
92,0.87
34,-2.12
201,-1.9
35,-2.18
25,0.47
53,-2.15
39,-2.1
53,-1.55
112,-2.13
201,-0.25
23,-2.4
118,-2.35
42,-1.53
201,-0.5
60,-1.58
201,0.52
171,-1.55
62,-0.88
59,-2.2
80,-1.55
66,-2.03
201,-0.37
31,-1.88
201,-1.03
201,-0.15
134,-1.47
197,-2.2
52,-1.53
83,-1.9
55,-2.35
122,-2.3
60,-2.18
108,-2.1
64,-0.47
57,-1.55
82,-1.28
201,-0.98
165,-2.23
93,-0.93
39,-2.28
68,-2.0
81,-1.93
72,-1.0
137,0.85
87,-1.13
115,-0.8
201,-0.6
109,-1.65
101,-0.6
91,-1.15
52,-1.13
