iters,reward
21,-1.65
14,-1.7
14,-1.7
14,-1.7
12,-1.73
54,-2.13
14,-1.7
201,0.0
14,-1.7
14,-1.7
36,-1.9
18,-1.68
14,-1.7
18,-1.68
12,-1.73
14,-1.7
14,-1.7
14,-1.7
14,-1.7
66,-2.03
37,-1.88
21,-1.65
14,-1.7
14,-1.7
18,-1.68
19,-1.65
14,-1.7
24,-2.38
14,-1.7
14,-1.7
14,-1.7
12,-1.73
12,-1.73
14,-1.7
14,-1.7
24,-2.23
14,-1.7
14,-1.7
14,-1.7
12,-1.73
14,-1.7
14,-1.7
14,-1.7
14,-1.7
18,-1.68
55,-1.93
14,-1.7
183,-2.13
14,-1.7
18,-1.68
56,-1.93
14,-1.7
14,-1.7
14,-1.7
48,-1.43
18,-1.68
14,-1.7
14,-1.7
14,-1.7
14,-1.7
18,-1.68
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
18,-1.68
14,-1.7
14,-1.7
14,-1.7
18,-1.68
14,-1.7
31,-2.12
14,-1.7
14,-1.7
14,-1.7
14,-1.7
14,-1.7
12,-1.73
14,-1.7
18,-1.68
14,-1.7
14,-1.7
14,-1.7
12,-1.73
12,-1.73
54,-2.13
14,-1.7
12,-1.73
99,-0.35
201,-0.88
66,-1.88
161,-1.58
93,-0.25
201,-1.43
34,-2.14
42,-1.5
64,-2.2
69,-2.0
186,-2.18
201,-0.85
32,-2.15
118,-2.05
24,-2.39
38,-1.58
45,-2.12
34,-2.0
54,-1.97
77,-1.93
84,-0.75
97,-1.38
119,-0.98
28,-2.19
54,-1.88
26,-2.16
22,-2.1
111,-1.05
103,-2.38
76,-2.02
89,-1.3
40,-2.08
24,-2.39
80,-2.05
44,-0.12
43,-2.1
39,-2.25
87,-1.98
37,-1.5
113,-1.03
24,-2.39
39,-2.17
49,-2.15
82,-1.7
91,-1.8
130,-1.33
87,-1.88
50,-1.4
110,-2.08
52,-1.4
49,-2.2
69,-2.03
66,-1.43
24,-2.39
60,-2.48
40,-1.48
68,-2.0
56,-2.2
80,-0.72
