iters,reward
97,-1.48
52,-1.38
201,-0.6
80,-1.63
201,0.17
123,-2.28
115,-1.6
56,-2.1
115,-0.75
17,-1.35
30,-2.18
17,-1.35
73,-1.95
173,-1.95
201,-0.93
57,-1.8
201,0.22
32,-1.95
201,-1.18
50,-0.1
34,-1.43
67,-2.18
28,-1.55
60,-1.98
73,-2.0
72,-1.08
57,-1.75
52,-2.15
67,-2.1
47,-2.2
24,-2.39
87,-2.2
57,-1.35
87,-1.5
113,-1.85
39,-1.43
28,-2.43
52,-1.0
40,-1.48
49,-1.52
84,-1.94
75,-1.28
45,-0.53
73,-1.28
93,-1.05
79,-1.78
115,0.37
78,-2.05
61,-1.78
51,-0.12
51,-1.12
93,-1.58
80,-1.83
96,-1.58
97,-0.97
96,-2.12
135,-2.15
83,-1.55
70,-0.9
76,-1.23
29,-2.15
65,-1.47
88,-1.9
34,-2.1
125,-1.16
78,-1.18
125,-1.95
68,-1.35
126,-1.68
123,-2.28
42,-0.55
95,-1.5
35,-1.45
120,-1.9
181,-1.0
89,-2.0
16,-1.88
49,-2.0
71,-1.3
82,-1.95
42,-2.23
81,-1.75
65,-1.43
90,-1.43
67,-1.45
30,-2.14
74,-1.95
93,-2.02
26,-2.27
201,-1.51
86,-0.74
51,-1.6
129,-0.33
116,-2.13
53,-2.05
86,-1.2
64,-1.12
98,-1.53
42,-2.23
51,-1.35
65,-2.03
16,0.0
42,-0.47
107,-0.77
54,-2.33
20,-1.23
105,-0.11
27,-2.18
78,-1.98
51,-2.18
63,-2.18
99,-1.82
55,-2.13
43,-1.25
25,-0.77
118,-1.53
67,-2.0
43,-1.68
77,-2.18
107,-1.7
103,-1.7
25,-1.65
68,-2.23
36,-2.28
60,-2.28
53,-2.28
89,-1.45
84,-1.58
67,-1.88
87,-1.93
26,-2.2
84,-1.63
71,-1.86
40,-1.48
45,-2.2
56,-2.1
141,-1.95
67,-1.33
27,-1.52
103,-0.82
22,-2.1
39,-2.25
80,-2.05
103,-2.0
47,-1.43
61,-1.1
64,-2.15
50,-1.65
29,-1.9
36,-2.17
