iters,reward
66,-2.0
48,-2.36
75,-2.08
38,-1.53
82,-1.5
38,-1.53
39,-2.25
33,-2.18
38,-2.12
41,-2.2
80,-2.0
33,-2.18
43,-1.88
56,-2.38
102,-2.0
38,-1.53
33,-2.18
66,-2.08
38,-1.53
38,-1.53
38,-1.53
33,-2.18
201,-0.5
41,-2.15
94,-0.5
34,-2.12
38,-1.53
33,-2.18
52,-1.38
33,-2.18
66,-1.18
33,-2.18
98,-1.93
57,-2.21
38,-1.53
75,-1.95
69,-1.43
109,-2.25
44,-1.63
197,-0.75
201,0.85
37,-2.1
34,-2.18
105,-1.82
201,-1.85
201,-1.6
201,-0.65
64,0.97
59,0.35
56,-0.35
83,-1.05
201,-2.18
74,-1.95
12,-1.73
12,-1.73
12,-1.73
14,-1.7
105,-1.23
48,2.25
39,-2.25
201,-1.75
51,-1.48
127,-0.35
51,-2.33
45,-1.7
41,-1.05
58,-1.7
39,-2.12
68,-2.15
41,-1.07
47,-2.38
73,-1.38
41,-1.05
66,-2.1
95,-1.05
201,-2.08
40,-2.15
47,-2.38
80,-0.83
95,-1.78
201,-0.65
47,-2.38
62,-2.08
47,-2.38
87,-1.95
60,-2.15
43,-1.73
50,-1.5
61,-2.13
83,-0.97
60,-2.03
42,-2.15
47,-2.38
201,2.27
74,-2.2
99,0.0
201,-1.91
122,0.4
36,-2.28
63,-1.3
52,-2.25
179,-0.23
26,-2.23
78,0.97
58,-1.63
201,-0.43
201,-0.43
84,-1.88
125,-1.78
109,-1.73
56,-1.12
51,0.0
66,-0.65
52,-2.23
46,-1.75
22,-2.38
67,0.95
201,0.0
61,0.47
45,2.28
121,0.32
58,-2.08
201,0.0
34,-1.53
201,0.0
133,-2.0
201,0.87
57,-1.43
38,-2.25
197,1.65
201,-0.12
24,-2.38
63,0.82
52,-2.13
75,-1.2
60,-0.45
103,-1.07
188,-1.9
78,-1.88
14,-1.7
91,-1.08
114,-1.32
56,-1.28
137,-1.05
119,-1.18
201,-0.25
85,-1.82
14,-1.7
14,-1.7
54,-1.08
