iters,reward
142,-1.77
88,-2.41
27,-1.2
56,-2.71
60,-1.16
77,-2.24
114,-1.68
77,-2.33
28,-1.44
126,-1.73
24,-2.32
28,-1.44
41,-1.47
91,-1.67
22,-1.83
70,-2.22
39,-2.13
43,-2.06
78,-1.26
24,-2.02
22,-1.81
90,0.5
74,-1.98
201,-0.43
23,-2.02
178,-1.41
201,0.15
90,-1.67
109,-2.73
109,-2.79
175,-1.51
201,-0.66
162,-2.22
73,-1.9
48,-1.79
70,-1.86
97,-1.46
120,-2.15
91,-2.15
201,-1.13
201,-0.95
201,-0.42
201,-0.68
201,-0.6
186,-2.5
49,-1.27
46,-1.89
65,-2.3
53,-1.88
165,-2.36
45,-2.01
116,-1.58
78,-1.81
201,0.16
18,1.62
201,-0.87
38,-2.13
201,-1.14
46,-1.38
47,0.33
13,-1.66
40,-2.01
141,-2.6
201,0.15
105,-2.39
46,0.26
38,-2.66
82,-2.63
47,-2.31
48,-2.65
201,-2.3
37,-1.63
109,-2.12
79,-2.13
39,-2.5
60,-1.92
33,-1.47
94,0.28
60,-1.62
70,-2.48
98,-0.39
50,-1.53
96,-2.74
56,-2.64
49,-1.99
63,-1.95
53,-2.58
63,-2.53
53,-2.58
86,-1.75
151,-1.39
42,-2.49
69,-2.2
201,-1.44
185,-1.25
31,1.6
24,-1.68
122,-1.05
58,-1.7
46,1.33
66,-1.46
87,-1.47
78,-2.62
62,-2.15
60,-2.13
50,-2.05
51,-2.34
23,-1.71
82,-0.67
14,-1.66
18,-1.62
14,-1.66
47,-1.94
51,-1.24
118,1.04
15,-1.39
72,-1.92
109,-1.07
201,-0.61
78,-1.85
134,-2.02
94,-1.98
46,-1.97
22,-1.73
153,-1.9
49,-1.27
31,-0.73
112,-2.15
32,-2.3
39,-2.41
69,-1.34
172,-2.52
12,-1.69
73,-2.3
53,-2.63
20,-2.03
81,-2.11
112,-2.21
50,-1.67
35,-1.6
68,1.25
25,-2.02
67,-2.21
58,-1.32
52,-0.45
120,-1.41
81,-2.68
71,-0.79
25,-2.7
163,-0.74
171,-1.07
25,-2.02
73,-1.76
44,-2.06
65,-2.46
31,-1.59
48,-1.33
38,-1.44
70,-1.21
96,-0.94
196,-2.64
201,0.15
71,-1.0
187,-1.07
201,-0.24
90,-1.02
39,-1.78
39,-2.13
79,-2.75
128,-1.36
129,-1.57
63,-0.59
201,-1.18
39,-1.75
27,-1.83
50,-1.52
42,-2.16
24,-2.32
201,-0.87
71,-1.35
124,-2.43
54,-1.95
38,-1.57
201,-0.42
35,-1.6
82,0.05
22,-1.83
63,-1.63
83,0.17
53,-0.71
201,-2.09
65,-1.83
162,-2.61
201,-1.1
25,-2.02
122,-2.6
144,-1.66
32,-1.88
136,-1.62
50,-2.05
