iters,reward
76,-2.05
77,-1.4
37,-2.41
181,-1.12
36,-0.17
101,-1.69
50,-1.3
149,-1.31
42,-2.77
201,-2.13
39,-2.43
55,-2.08
166,-1.86
79,-2.36
39,-2.59
87,-1.53
13,-1.76
66,-2.28
27,-0.17
25,-2.02
54,-1.95
55,-1.57
60,-2.71
49,-1.72
96,-2.52
27,-2.26
58,-1.41
78,-2.06
201,0.16
49,-1.42
63,-1.58
36,-2.18
123,-2.22
51,-2.28
201,0.41
85,-0.19
168,0.34
104,-2.26
76,-2.43
47,0.26
46,-1.38
201,-0.74
124,-1.28
77,-1.31
77,-2.34
201,-0.38
85,-1.39
69,-2.39
67,-0.58
179,0.48
201,-0.26
33,-2.43
78,-2.44
25,-2.33
88,-1.93
43,-1.88
83,-1.11
137,-2.6
201,-1.0
166,-1.08
45,-2.25
201,-0.47
88,-1.74
96,-1.6
54,-2.07
73,-1.92
162,-2.34
81,-2.47
35,-2.61
196,0.38
201,-0.38
201,-0.32
201,-0.67
201,-0.61
42,-1.34
201,-1.12
201,-0.02
61,-2.19
94,-1.24
153,-2.57
201,0.24
129,-1.47
119,-1.14
145,-1.45
151,1.75
118,-0.37
160,1.67
201,-0.81
201,-0.76
56,-1.78
106,-0.57
65,-1.23
181,-1.44
121,-0.55
201,-0.6
201,0.53
51,-1.71
73,-2.52
147,-2.96
176,-2.96
168,-2.35
106,-2.28
115,-2.55
100,-2.05
24,-2.32
45,-0.92
201,0.12
45,-1.31
153,-2.05
201,-0.77
152,-2.73
22,-1.77
25,-2.02
25,-2.02
68,-1.63
25,-2.02
35,-2.0
25,-2.02
63,-2.36
25,-2.02
39,-2.09
25,-2.02
23,-2.28
25,-2.02
25,-2.02
59,-1.2
25,-2.02
86,1.52
18,1.91
86,1.45
26,-1.33
70,0.34
25,-2.02
25,-1.64
25,-2.02
46,-0.36
72,-1.67
25,-2.02
42,-2.09
40,1.98
25,-2.12
201,-0.04
25,-2.02
25,-2.02
60,-1.88
25,-2.02
177,-1.61
25,-2.02
36,2.44
25,-1.54
106,-2.2
28,-1.56
163,-1.86
25,-2.02
91,-0.82
61,0.04
107,1.97
25,-2.02
25,-2.02
86,-0.4
55,-0.95
119,-0.79
25,-2.12
120,-1.11
64,0.29
71,1.23
42,-2.02
75,-1.65
20,1.89
117,-1.98
32,-1.31
34,-1.88
25,-2.02
25,-2.02
25,-2.02
25,-2.02
25,-1.64
129,-2.0
23,-2.08
14,1.87
25,-2.02
25,-1.54
23,-2.08
135,-1.99
90,-1.68
25,-2.02
25,-2.02
32,-1.31
25,-2.02
25,-2.02
72,1.28
25,-2.02
29,1.92
75,-1.85
25,-2.02
69,-1.05
25,-2.02
41,-2.13
25,-2.02
25,-2.02
