iters,reward
71,-2.36
14,-1.66
14,-1.66
14,-1.66
12,-1.69
14,-1.66
14,-1.66
14,-1.66
14,-1.66
18,-1.62
84,-1.6
14,-1.66
14,-1.66
14,-1.66
14,-1.66
12,-1.69
14,-1.66
14,-1.66
14,-1.66
12,-1.69
46,-1.28
19,-1.59
54,-1.95
14,-1.66
12,-1.69
14,-1.66
22,-1.56
64,-1.82
14,-1.66
14,-1.76
18,-1.62
14,-1.66
14,-1.66
14,-1.66
14,-1.66
54,-1.95
26,-1.44
18,-1.62
14,-1.66
201,-1.35
12,-1.69
14,-1.76
14,-1.66
14,-1.66
131,-1.8
32,-1.12
14,-1.66
14,-1.66
14,-1.66
14,-1.66
14,-1.66
18,-1.62
14,-1.66
14,-1.66
22,-1.56
12,-1.69
14,-1.66
14,-1.66
166,-1.41
14,-1.66
14,-1.66
14,-1.66
13,-1.66
44,-0.98
14,-1.66
66,-2.38
12,-1.69
54,-1.95
41,-1.41
12,-1.69
14,-1.66
25,-1.37
44,-0.98
44,-0.98
14,-1.66
13,-1.66
14,-1.66
14,-1.66
201,0.34
90,-1.53
14,-1.66
14,-1.66
14,-1.66
14,-1.76
198,-1.58
80,-1.74
14,-1.66
28,-1.49
201,0.02
27,0.29
26,-1.15
14,-1.66
14,-1.66
54,-1.95
21,-1.69
25,-1.52
47,-2.09
82,-1.86
89,-0.81
36,-1.74
82,0.09
14,-1.66
201,-0.25
44,-0.98
22,-1.56
14,-1.66
31,-1.78
42,-2.09
112,-1.48
109,-1.59
159,-1.04
60,-1.13
184,-1.11
180,-1.66
199,-1.78
12,-1.69
141,-2.04
31,-1.78
34,-2.16
201,-1.65
43,-1.57
16,-0.09
41,-2.2
84,-1.01
12,-1.69
20,-1.59
73,-1.78
66,-1.66
75,-1.81
49,-2.18
24,-1.63
47,-1.84
53,-1.99
54,-2.88
14,-1.66
151,-2.06
32,-2.07
201,-0.79
79,-1.06
67,-1.8
14,-1.66
189,-1.5
11,1.57
108,-1.22
37,-2.33
38,-0.02
73,-2.68
126,-1.6
54,-1.71
16,-1.36
64,-1.93
63,-2.2
85,-2.33
201,0.02
174,-0.88
109,-1.43
159,-1.41
68,-2.43
200,-1.21
66,-1.12
201,-1.53
69,-1.78
75,-1.58
201,0.58
52,-2.52
201,-0.55
81,-1.52
57,-0.76
201,-0.45
74,-1.39
191,-1.57
126,-2.33
33,-2.26
57,-1.64
88,-2.03
42,-2.68
73,-1.26
201,-0.98
201,0.41
33,-1.98
31,-1.45
201,0.57
49,-2.32
56,-1.76
152,-0.5
25,-2.39
39,-2.79
87,-1.07
57,-2.6
72,-1.46
32,-1.85
201,-1.92
32,-1.57
201,-0.58
201,-0.58
93,-2.1
127,-2.03
40,-2.3
24,-2.32
28,-1.44
